model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
Subaru Forester 2.0A XT Sunroof,41800,17710,139080,1998,177,28-Jan-2016,0.85,1,17994,17994,This car comes with 6-mth                                                Sgcarmart,354.0,Forester,20620.0,2016.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Toyota Prius Plus Hybrid 1.8A,88800,17300,95000,1798,100,29-Aug-2018,4.43,2,30006,24009,"PARF Car, Premium Ad Car, Hybrid Cars",373.0,Prius Prime,14980.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,4.0,1530.612244897959,42.770500000000006
Mitsubishi Outlander 2.4A,65800,16820,73888,2360,123,13-Jul-2017,3.3,1,20233,20327,"18"" sports rims, factory fitted audio system, reverse sensors/camera, solar film, fog lights. LED headlamps and DRL. Upholstery leather seats.",322.0,Outlander Sport,17322.0,2017.0,SUV,I4,regular unleaded,front wheel drive,5-speed manual,5.0,1375.0566893424036,62.83100000000001
Porsche Panamera G2 3.0A PDK,245000,49900,83600,2995,243,16-May-2017,3.06,2,113251,175852,Surround view parking assist. Navigation. Bluetooth interface. Keyless entry. Soft close doors. 14 way memory seats. Reverse camera.,342.0,Panamera,17605.0,2017.0,Sedan,V6,premium unleaded (required),all wheel drive,8-speed automated manual,4.0,1849.8866213151928,89.7045
Mercedes-Benz E-Class E300 Coupe AMG Line,164999,30600,68000,1991,180,16-Jan-2018,3.82,3,69047,96285,"Keyless entry and start, sunroof, 360 camera, electric memory seats, original Burmester sound system.",303.0,E-Class,14253.0,2018.0,Sedan,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,79.8635
Honda Odyssey 2.4A EXV-S,81800,20990,88488,2356,129,20-Mar-2017,2.99,1,32881,38034,Dual electric sliding doors. Reverse camera/sensors. Sunroof. Sports rims.,41.0,Odyssey,16535.0,2017.0,Minivan,V6,regular unleaded,front wheel drive,6-speed automatic,8.0,2027.2108843537412,79.485
Audi Q3 1.4A TFSI S-tronic,48900,17310,122000,1395,110,26-Jan-2016,0.84,1,29901,33862,"Audi Drive Select, Electric Seats, Upgraded Android Player with Reverse Camera, Climatic Aircon, Rear Aircon.",6.0,Q3,18317.0,2016.0,SUV,I4,premium unleaded (recommended),front wheel drive,6-speed shiftable automatic,5.0,1584.580498866213,63.9665
Audi A3 Sedan 1.4A TFSI R,58888,16670,100000,1394,90,31-Mar-2017,3.02,3,25011,17016,"Audi MMI, multi-zone and rear aircon, reverse camera with sensors, leather seats, Bluetooth, knockdown rear seats.",507.0,A3 Sportback e-tron,15291.0,2017.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed automated manual,5.0,1639.9092970521542,40.121
Maserati GranTurismo 4.2A ,155000,21800,73000,4244,298,4-Jul-2011,7.02,5,94950,94950,"Leather Seats, 20"" Sports Rims, Reverse Camera, Electric Seats, Auto Headlights.",518.0,GranTurismo,32672.0,2011.0,Coupe,8.0,Gasoline,Rear,Automatic,4.0,1880.7256235827665,85.9195
Mercedes-Benz GLA-Class GLA180 Urban Edition,123800,18170,79000,1595,90,31-Mar-2020,6.02,2,26229,28721,New Tyres - Less Than A Year.,305.0,GLA-Class,8276.0,2020.0,SUV,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1494.7845804988665,56.01800000000001
Honda Civic 1.6A VTi,113800,14480,55360,1597,92,20-May-2021,7.07,1,20166,20233,"Sports rims, leather seats, multi function steering control, cruise control, factory fitted audio with Bluetooth, carplay, retractable side mirrors.",216.0,Civic,4685.0,2021.0,Compact Cars,4.0,Regular Unleaded,Front Wheel Driv,Manual,5.0,1340.136054421769,46.934000000000005
Subaru XV 1.6i-S,19800,15740,75000,1600,84,14-Feb-2015,0.89,3,16317,11317,"Pioneer infotainment. Bluetooth. Leather seats. 17"" sports rims. Airbags. Knockdown rear seats. Bicycle roof rail. Front & rear recorder cameras.",618.0,XV Crosstrek,23492.0,2015.0,SUV,flat 4,regular unleaded,all wheel drive,continuously variable-speed automatic,5.0,1454.875283446712,60.18150000000001
Mazda CX-5 2.0A,94800,16750,81777,1998,121,12-Feb-2019,4.89,2,24014,25620,"Auto-Hold, Keyless entry/start. Electric park brake. Reverse camera and sensors. Factory fitted entertainment system with navigation.",288.0,CX-5,11090.0,2019.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1605.8956916099771,56.01800000000001
Audi Q5 2.0A TFSI Quattro Panoramic Roof ,94800,14530,108000,1984,155,29-Sep-2010,6.52,2,39004,39004,"Audi MMI navigation and Bluetooth, keyless entry/start/stop, electric memory seats, cruise control, all round parking sensors and auto tailgate.",7.0,Q5,33601.0,2010.0,SUV,4.0,Diesel,AWD,Manual,5.0,1894.7845804988665,74.94300000000001
BMW X1 sDrive18i,64000,18200,98000,1499,100,28-Nov-2016,2.68,3,30895,30253,"Electric seats, comfort access, iDrive, Bluetooth, navi, reverse camera, drive experience control, contactless boot release and auto tailgate.",147.0,X1,18442.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1659.863945578231,60.938500000000005
BMW 3 Series 318i,43888,15970,84988,1499,100,1-Mar-2016,0.93,3,27737,25832,"18"" M s/rims, luxurious premium leather seats, factory integrated 8"" TFT screen infotainment system with BT/parktronic, fog lamps, UV film, dashcam.",9.0,3 Series,18376.0,2016.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1528.344671201814,59.803
Honda HR-V 1.5A DX,46800,15090,113000,1496,96,14-Oct-2016,2.56,1,20928,16300,"16"" factory fitted sports rims, Bluetooth,keyless entry/start/stop, electric folding side mirror, multi-function steering wheel, reverse camera/sensor",40.0,HR-V,19534.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
Audi A3 Sportback 1.0A TFSI S-tronic,84800,15160,96000,999,85,30-Jan-2019,4.85,1,21568,22196,"Original factory fitted 16"" sports rim, brown color premium leather seat, Audi infotainment with parking sensor & Bluetooth, keyless entry, solar film",103.0,A3,9250.0,2019.0,Convertible,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,4.0,1559.6371882086166,49.962
Audi A3 Sedan 1.0A TFSI S-tronic,95800,15490,66331,999,85,31-Aug-2019,5.44,1,22083,22917,Keyless entry/start/stop. LED DRL. Knockdown rear seats. Reverse sensor. Auto headlights. Electric drive seat. Full leather interior.,103.0,A3,9250.0,2019.0,Convertible,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,4.0,1559.6371882086166,49.962
Audi A4 2.0A TFSI S-tronic,113800,18150,55331,1984,140,30-May-2019,5.19,1,33718,39206,"Original factory head unit with Bluetooth connectivity, GPS navigation, electric seats, sports rims, reverse camera, virtual cockpit display.",104.0,A4,9256.0,2019.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1564.625850340136,57.910500000000006
