model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
LAND ROVER RANGE ROVER EVOQUE 2.0 TSS                  , 133000 ,       33486 ,   26500 ,28-Apr-2017       ,     3.1 ,          1 , 47615 ,  58661 , 1770 ,    1999 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
MASERATI GHIBLI GRANSPORT                              , 305000 ,       34937 ,   24000 ,16-Apr-2021       ,     7.1 ,          1 , 80158 , 116285 , 2570 ,    2979 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
JAGUAR E-PACE 2.0P (249PS)                             ,  96800 ,       17855 ,  113000 ,31-May-2018       ,     4.2 ,          2 , 37152 ,  44013 , 1830 ,    1997 ,LED Head Light And Daytime Running Lights. Electric Folding Side Mirrors. Lane Departure Warning With Lane Keep Assist. Electric Park Brake.
SEAT LEON FR1.5 ETSI 110KW                             , 120999 ,       14389 ,   36500 ,29-Mar-2022       ,     8.0 ,          1 , 24442 ,  11219 , 1100 ,    1498 ,"LED DRL, reverse camera, reverse sensors, lane keep assist, auto rain sensors, paddle shifters, keyless entry/start/stop, nice embedded sport seats"
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  ,  88999 ,       16272 ,   76000 ,27-Dec-2018       ,     4.8 ,          2 , 22105 ,  22947 ,  850 ,     999 ,"Auto LED headlights w DRL, auto mirrors/wipers, keyless entry & engine start/stop, rear ac, driver's electric seat, rear sensors, electric park brake."
AUDI A1 SB S LINE 1.0 TFSI S TRONIC                    , 137999 ,       16286 ,   31000 ,30-Nov-2021       ,     7.7 ,          1 , 23937 ,  25512 ,  850 ,     999 ,30-colour ambient lighting. HD Virtual Cockpit. Apple CarPlay/Android Auto. 1 USB-A. 1 USB-C. Touchscreen MMI. Keyless Entry. KeylessGo. 2 ISOFIX.
TOYOTA HARRIER G GRADE                                 , 101800 ,       19524 ,   99000 ,13-Jun-2018       ,     4.2 ,          1 , 33308 ,  38632 , 1700 ,    1998 ,"Electric steering column, electronic seats, reclining rear seats, Toyota safety sense, Bluetooth, keyless entry/start/stop, reverse camera."
HYUNDAI ELANTRA AD 1.6 GLS AT                          ,  53800 ,       14052 ,   94000 ,07-Aug-2017       ,     3.4 ,          1 , 12739 ,  12739 ,  938 ,    1591 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start"
SSANGYONG TIVOLI 1.6D STD 6AT 2WD ABS E6 FL            ,  80000 ,       11660 ,   72000 ,26-Mar-2020       ,     6.0 ,          1 , 19824 ,  19824 ,  965 ,    1597 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start,"
HYUNDAI ELANTRA AD 1.6 GLS AT                          ,  42800 ,       15474 ,  102998 ,06-Jun-2016       ,     2.2 ,          2 , 17347 ,  17347 ,  938 ,    1591 ,"Leather Seats, Driver Electric Seats With Memory, Ventilated/Heated Seats, Factory Fitted Infotainment System With Reverse Cam, Rear A/C"
