owners,eng_cap,price,depreciation,mileage,power,coe_left,omv,arf,model_seats,model_weight_kg,model_engine_cyl,model_fuel_cap_l,premium,years_since_reg,model_body_Convertible,model_body_Coupe,model_body_Crossover,model_body_Hatchback,model_body_Large Cars,model_body_Midsize Cars,model_body_Minivan,model_body_Not Available,model_body_Roadster,model_body_SUV,model_body_Sedan,model_body_Two Seaters,model_body_Wagon,model_transmission_type_CVT,model_transmission_type_Manual,model_transmission_type_Others,model_drive_Front Wheel Drive,model_drive_Rear Wheel Drive,model_engine_fuel_Electric,model_engine_fuel_Hybrid,model_engine_fuel_Premium,model_engine_fuel_Regular,brands
1,1600.0,17800.0,25380.0,140000.0,84.0,0.7,15758.0,10758.0,5,1454.875283446712,4,60.18150000000001,94010,9,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1.0
1,1600.0,31900.0,14960.0,83000.0,84.0,0.51,18541.0,18541.0,5,1454.875283446712,4,60.18150000000001,89000,9,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1.0
1,1600.0,24000.0,15310.0,164147.0,84.0,0.18,16922.0,11922.0,5,1454.875283446712,4,60.18150000000001,94010,9,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1.0
1,1600.0,33800.0,15800.0,113060.0,84.0,0.56,18249.0,18249.0,5,1454.875283446712,4,60.18150000000001,94010,9,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1.0
1,1600.0,52000.0,13280.0,80864.0,84.0,3.41,13486.0,13486.0,5,1353.7414965986395,4,49.961999999999996,89000,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
1,1600.0,56800.0,15300.0,101000.0,84.0,3.27,13646.0,13646.0,5,1353.7414965986395,4,49.961999999999996,89000,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
1,1600.0,25800.0,16070.0,98500.0,84.0,0.06,14976.0,14976.0,5,1409.9773242630386,4,54.8825,89000,9,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0
1,1600.0,48800.0,13950.0,108500.0,84.0,3.02,13466.0,13466.0,5,1353.7414965986395,4,49.961999999999996,94010,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
1,1600.0,61800.0,12350.0,26288.0,84.0,5.0,13794.0,13794.0,5,1385.0340136054422,4,54.8825,89000,10,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1.0
1,1600.0,60800.0,17980.0,132000.0,84.0,3.01,13454.0,13454.0,5,1353.7414965986395,4,49.961999999999996,89000,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.0
